Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Serbia,RS,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,6796970,5119483,19.0,22719,443.8
Serbia,RS,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,6796970,5119483,19.0,25430,496.7
Finland,FI,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,5546525,1095188,7.1,17,1.6
Finland,FI,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,5546525,4087221,4.4,249,6.1
Finland,FI,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,5546525,4087221,4.4,14,0.4
Finland,FI,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5546525,4087221,4.4,87,2.1
Finland,FI,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5546525,4087221,4.4,259,6.4
San Marino,SM,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,33693,33692,5586.0,2,7.6
San Marino,SM,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,33693,5587,13.8,2,44.0
San Marino,SM,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,33693,26113,13.8,10,41.3
San Marino,SM,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,33693,26113,13.8,5,21.9
San Marino,SM,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,33693,26113,13.8,51,195.5
San Marino,SM,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,33693,26113,13.8,2,11.0
Serbia,RS,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,6796970,5541708,16.0,18,0.3
Serbia,RS,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,6796970,5119483,16.0,402,7.9
Serbia,RS,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,6796970,6796969,5220.7,652,9.6
Serbia,RS,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,6796970,1255261,19.0,23,1.9
Serbia,RS,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,6796970,5119483,19.0,1608,31.4
Serbia,RS,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,6796970,5119483,19.0,2371,46.3
Norway,NO,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,5420734,4249574,7.8,112,2.7
Norway,NO,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5420734,3852402,7.8,288,7.5
Norway,NO,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,5420734,4249574,7.8,118,2.8
Norway,NO,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,5420734,1171159,5.4,123,10.5
Norway,NO,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,5420734,1171159,5.4,0,0.0
Norway,NO,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,5420734,3852402,5.4,45,1.2
Norway,NO,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,5420734,3852402,5.4,588,15.3
Norway,NO,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,5420734,3852402,5.4,437,11.4
Bulgaria,BG,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,6482238,5011131,14.8,81,1.6
Bulgaria,BG,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,6482238,5011131,14.8,132,2.6
