Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Norway,NO,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,5420734,4249574,7.8,0,0.0
Norway,NO,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,5420734,4249574,7.8,5,0.1
Norway,NO,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,5420734,3852402,7.8,16,0.4
Norway,NO,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,5420734,1171159,7.8,46,4.0
Norway,NO,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5420734,3852402,79.2,882,22.9
Norway,NO,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,5420734,3486035,5.4,3158,90.6
Estonia,EE,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,1330346,1058762,6.9,0,0.1
Estonia,EE,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,1330346,984319,6.9,39,4.0
Estonia,EE,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,1330346,984319,6.9,17,1.8
Estonia,EE,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,1330346,984319,5.6,30,3.1
Estonia,EE,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,1330346,984319,5.6,36,3.7
Estonia,EE,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,1330346,984319,5.6,167,17.0
Estonia,EE,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,1330346,984319,5.6,7,0.8
Switzerland,CH,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,8738637,6524176,13.7,97,1.5
Switzerland,CH,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,8738637,5968055,8.5,1849,31.0
Switzerland,CH,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,8738637,6524176,8.5,2803,43.0
Türkiye,TR,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,84655959,52712022,30.0,11190,21.2
Türkiye,TR,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,84655959,52712022,30.0,5331,10.1
Türkiye,TR,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,84655959,52712022,30.0,66343,125.9
Türkiye,TR,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,84655959,60696403,30.0,39341,64.8
Türkiye,TR,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,84655959,52712022,78.3,50506,95.8
Switzerland,CH,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,8738637,6524176,13.7,610,9.4
Switzerland,CH,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,8738637,7082046,13.7,31,0.4
Belgium,BE,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,11610418,8350860,15.4,451,5.4
Belgium,BE,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,11610418,7620400,15.4,11870,155.8
Belgium,BE,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,11610418,2454579,15.4,0,0.0
Switzerland,CH,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,8738637,6524176,8.5,3405,52.2
Denmark,DK,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,5865367,4202648,7.5,36,0.9
Denmark,DK,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,5865367,1218729,7.5,0,0.1
Denmark,DK,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,5865367,4202648,7.5,137,3.3
Denmark,DK,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,5865367,3797130,7.7,1183,31.2
Denmark,DK,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,5865367,1218729,7.7,0,0.0
Belgium,BE,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,11610418,3013651,10.1,7278,241.5
Belgium,BE,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,11610418,8350860,10.1,7155,85.7
Austria,AT,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,8978755,1639155,13.5,0,0.0
Serbia,RS,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,6796970,1255261,16.0,0,0.0
Serbia,RS,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,6796970,5119483,16.0,1675,32.7
Serbia,RS,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,6796970,5119483,16.0,3713,72.5
Belgium,BE,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,11610418,9155838,15.4,1033,11.3
Belgium,BE,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,11610418,11610417,4055.9,515,4.4
Belgium,BE,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,11610418,8350860,10.1,6169,73.9
Austria,AT,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,8978755,6750433,13.5,1717,25.4
Austria,AT,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,8978755,6750433,10.1,11405,169.0
Austria,AT,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,8978755,6750433,10.1,387,5.7
Norway,NO,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,5420734,3852402,7.8,54,1.4
Norway,NO,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,5420734,3852402,79.2,382,9.9
Norway,NO,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,5420734,3852402,5.4,132,3.4
Norway,NO,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,5420734,3486035,5.4,337,9.7
Norway,NO,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,5420734,3852402,5.4,58,1.5
Norway,NO,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,5420734,3852402,5.4,752,19.5
Bulgaria,BG,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,6482238,4716124,14.8,1254,26.6
Bulgaria,BG,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,6482238,4716124,14.8,11999,254.4
Bulgaria,BG,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,6482238,5329715,14.8,1,0.0
Bulgaria,BG,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,6482091,4716017,14.7,79374,1683.1
Czechia,CZ,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,10516625,2099801,12.2,145,6.9
Czechia,CZ,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,10516625,7842926,12.2,2602,33.2
Czechia,CZ,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,10516625,7842926,12.2,3903,49.8
Türkiye,TR,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,84655959,46236983,30.0,225447,487.6
Türkiye,TR,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,84655959,52712022,30.0,48681,92.4
Türkiye,TR,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,84655959,52712022,30.0,48674,92.3
San Marino,SM,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,33693,26113,12.9,5,20.1
San Marino,SM,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,33693,26113,12.9,6,26.3
San Marino,SM,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,33693,26113,13.8,48,186.7
San Marino,SM,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,33693,26113,13.8,59,228.0
Switzerland,CH,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,8738637,6524176,8.5,4261,65.3
Switzerland,CH,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,8738637,6524176,8.5,3380,51.8
Türkiye,TR,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,84655959,60696403,30.0,36655,60.4
Türkiye,TR,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,84655959,52712022,30.0,67296,127.7
Türkiye,TR,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,84655959,52712022,30.0,59864,113.6
Türkiye,TR,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,84655959,52712022,78.3,647,1.2
Bulgaria,BG,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,6482238,1152522,14.8,146,12.7
Bulgaria,BG,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,6482238,5329715,14.8,17,0.3
Bulgaria,BG,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,6482091,1152496,14.7,0,0.0
Bulgaria,BG,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,6482091,1152496,14.7,0,0.0
Bulgaria,BG,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,6482091,5011018,14.7,508,10.1
Bulgaria,BG,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,6482091,5011018,14.7,5165,103.1
Bulgaria,BG,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,6482091,5011018,14.7,6630,132.3
Austria,AT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,8978755,6750433,96.9,13972,207.0
Czechia,CZ,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,10516625,10516624,5094.2,684,6.5
Czechia,CZ,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,10516625,2099801,13.0,882,42.0
Czechia,CZ,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,10516625,7842926,13.0,490,6.3
Czechia,CZ,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,10516625,7842926,13.0,2706,34.5
Czechia,CZ,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,10516625,7270338,13.0,6826,93.9
Czechia,CZ,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,10516625,2099801,13.0,0,0.0
Czechia,CZ,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,10516625,7842926,13.0,15577,198.6
Czechia,CZ,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,10516625,7842926,13.0,718,9.2
Czechia,CZ,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,10516625,7842926,13.0,10673,136.1
Czechia,CZ,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,10516625,7842926,13.0,26442,337.1
Czechia,CZ,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,10516625,7842926,13.0,9491,121.0
Denmark,DK,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,5865367,4202648,7.5,45,1.1
Denmark,DK,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,5865367,3797130,7.5,56,1.5
Denmark,DK,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5865367,4202648,7.5,243,5.8
Denmark,DK,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,5865367,4202648,7.5,148,3.5
Denmark,DK,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,5865367,4202648,80.1,530,12.6
Denmark,DK,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,5865367,4202648,80.1,5393,128.3
Denmark,DK,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,5865367,4202648,7.7,575,13.7
Norway,NO,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,5420734,1171159,7.8,46,4.0
Norway,NO,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,5420734,1171159,7.8,0,0.0
Norway,NO,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,5420734,3852402,7.8,167,4.4
Norway,NO,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,5420734,3852402,5.4,15,0.4
Norway,NO,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,5420734,1171159,5.4,0,0.0
Norway,NO,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,5420734,3852402,5.4,75,2.0
Norway,NO,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,5420734,3852402,5.4,43,1.1
Norway,NO,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5420734,3852402,5.4,767,19.9
Finland,FI,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5546525,4087221,7.1,86,2.1
France,FR,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,65904792,14756613,9.4,157,1.1
Bulgaria,BG,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,6482091,5011018,14.7,4136,82.5
Denmark,DK,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,5865367,1544353,7.7,1931,125.1
Estonia,EE,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,1330346,984319,6.9,3,0.4
Estonia,EE,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,1330346,984319,5.6,25,2.6
France,FR,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,65904792,14756613,9.4,5631,38.2
Denmark,DK,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,5865367,1218729,7.7,9,0.8
Denmark,DK,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,5865367,4202648,7.7,1786,42.5
Germany,DE,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,83233509,68597935,14.1,8789,12.8
Germany,DE,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,83233509,63277933,14.1,22511,35.6
Germany,DE,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,83233509,83233508,4826.4,5759,6.9
Germany,DE,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,83233509,63277933,9.2,3178,5.0
Germany,DE,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,83233509,14635573,9.2,50,0.3
Germany,DE,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,83233509,63277933,9.2,48815,77.1
Germany,DE,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,83233509,63277933,9.2,45188,71.4
Cyprus,CY,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,1256320,1011302,23.7,199,19.8
Cyprus,CY,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,1256320,924368,91.4,1219,131.9
Cyprus,CY,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,1256320,831034,14.7,669,80.5
Germany,DE,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,83233509,14635573,14.1,1898,13.0
Cyprus,CY,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,1256320,245017,23.7,93,38.3
Cyprus,CY,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,1256320,924368,23.7,603,65.3
Cyprus,CY,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,1256320,1011302,23.7,34,3.4
Cyprus,CY,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,1256320,245017,14.7,150,61.6
Cyprus,CY,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,1256320,924368,14.7,12,1.4
Cyprus,CY,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,1256320,831034,14.7,6387,768.6
Cyprus,CY,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,1256320,924368,14.7,2137,231.2
Finland,FI,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,5546525,4087221,7.1,7,0.2
Finland,FI,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,5546525,4087221,4.4,33,0.8
Finland,FI,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,5546525,4087221,4.4,28,0.7
Finland,FI,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,5546525,4087221,4.4,7,0.2
Finland,FI,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,5546525,4087221,4.4,94,2.3
Hungary,HU,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,9610069,7236473,13.9,670,9.3
Hungary,HU,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,9610069,6637889,13.9,1181,17.8
Hungary,HU,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,9610069,7236473,13.9,275,3.8
Hungary,HU,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,9610069,7236473,13.9,3929,54.3
Hungary,HU,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,9610069,6637889,13.8,8503,128.1
Hungary,HU,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,9610069,1783599,13.8,0,0.0
Hungary,HU,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,9610069,7236473,13.8,11060,152.8
Hungary,HU,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,9610069,7236473,13.8,14330,198.0
Hungary,HU,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,9610069,7236473,13.8,1968,27.2
Hungary,HU,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,9610069,1783599,13.8,856,48.0
Finland,FI,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,5546525,4087221,7.1,49,1.2
Finland,FI,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,5546525,3738078,7.1,54,1.5
Finland,FI,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,5546525,4087221,7.1,155,3.8
Finland,FI,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,5546525,5546524,1769.5,1202,21.7
Finland,FI,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,5546525,3738078,4.4,70,1.9
Finland,FI,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,5546525,1095188,4.4,0,0.0
Bulgaria,BG,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,6482091,5011018,14.7,2028,40.5
Bulgaria,BG,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,6482091,5011018,14.7,70,1.4
Bulgaria,BG,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,6482091,5011018,14.7,493,9.9
Cyprus,CY,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,1256320,924368,14.7,2656,287.4
Cyprus,CY,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,1256320,924368,14.7,2085,225.7
Switzerland,CH,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,8738637,5968055,13.7,584,9.8
Switzerland,CH,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,8738637,7082046,13.7,2,0.0
Switzerland,CH,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,8738637,1656590,13.7,0,0.0
Switzerland,CH,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,8738637,6524176,13.7,1183,18.1
Switzerland,CH,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,8738637,6524176,100.6,1279,19.6
Switzerland,CH,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,8738637,8738636,6231.4,512,5.9
Switzerland,CH,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,8738637,6524176,8.5,198,3.0
Switzerland,CH,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,8738637,1656590,8.5,0,0.0
